,stop_words
828,therein
829,theres
830,there's
831,thereupon
832,these
833,they
834,they'd
835,they'll
836,they're
837,they've
838,thi
839,thik
840,thing
841,think
842,thinking
843,third
844,this
845,tho
846,thoda
847,thodi
848,thorough
849,thoroughly
850,those
851,though
852,thought
853,three
854,through
855,throughout
856,thru
857,thus
858,tjhe
859,to
860,together
861,toh
862,too
863,took
864,toward
865,towards
866,tried
867,tries
868,true
869,truly
870,try
871,trying
872,tu
873,tujhe
874,tum
875,tumhara
876,tumhare
877,tumhari
878,tune
879,twice
880,two
881,um
882,umm
883,un
884,under
885,unhe
886,unhi
887,unho
888,unhone
889,unka
890,unkaa
891,unke
892,unki
893,unko
894,unless
895,unlikely
896,unn
897,unse
898,until
899,unto
900,up
901,upar
902,upon
903,us
904,use
905,used
906,useful
907,uses
908,usi
909,using
910,uska
911,uske
912,usne
913,uss
914,usse
915,ussi
916,usually
917,vaala
918,vaale
919,vaali
920,vahaan
921,vahan
922,vahi
923,vahin
924,vaisa
925,vaise
926,vaisi
927,vala
928,vale
929,vali
930,various
931,ve
932,very
933,via
934,viz
935,vo
936,waala
937,waale
938,waali
939,wagaira
940,wagairah
941,wagerah
942,waha
943,wahaan
944,wahan
945,wahi
946,wahin
947,waisa
948,waise
949,waisi
950,wala
951,wale
952,wali
953,want
954,wants
955,was
956,wasn
957,wasnt
958,wasn't
959,way
960,we
961,we'd
962,well
963,we'll
964,went
965,were
966,we're
967,weren
968,werent
969,weren't
970,we've
971,what
972,whatever
973,what's
974,when
975,whence
976,whenever
977,where
978,whereafter
979,whereas
980,whereby
981,wherein
982,where's
983,whereupon
984,wherever
985,whether
986,which
987,while
988,who
989,whoever
990,whole
991,whom
992,who's
993,whose
994,why
995,will
996,willing
997,with
998,within
999,without
1000,wo
1001,woh
1002,wohi
1003,won
1004,wont
1005,won't
1006,would
1007,wouldn
1008,wouldnt
1009,wouldn't
1010,y
1011,ya
1012,yadi
1013,yah
1014,yaha
1015,yahaan
1016,yahan
1017,yahi
1018,yahin
1019,ye
1020,yeah
1021,yeh
1022,yehi
1023,yes
1024,yet
1025,you
1026,you'd
1027,you'll
1028,your
1029,you're
1030,yours
1031,yourself
1032,yourselves
1033,you've
1034,yup
